id,direction_id,ligne_id,calendrier_id,macro_direction
1207,3,11,4,0
2745,3,11,4,0
2770,3,11,4,0
791,3,11,1,0
2714,12,11,2,1
2720,3,11,4,0
761,12,11,2,1
769,12,11,2,1
1196,3,11,1,0
4494,3,11,1,0
2672,3,11,1,0
4455,3,11,4,0
2696,12,11,2,1
2685,12,11,1,1
5522,12,11,2,1
4415,12,11,1,1
5550,3,11,1,0
4422,12,11,2,1
5579,12,11,1,1
1146,12,11,1,1
5582,3,11,2,0
1156,12,11,2,1
608,12,11,1,1
625,3,11,1,0
613,3,11,1,0
684,3,11,11,0
2654,3,11,2,0
2660,3,11,4,0
2607,12,11,1,1
641,12,11,4,1
2618,3,11,2,0
4391,3,11,1,0
4376,12,11,1,1
1071,3,11,4,0
1060,12,11,4,1
2573,3,11,4,0
2558,12,11,1,1
2545,12,11,4,1
5445,3,11,1,0
4321,3,11,7,0
5454,3,11,3,0
1037,12,11,1,1
1043,12,11,3,1
5469,3,11,2,0
5357,3,11,5,0
5352,3,11,2,0
5346,12,11,1,1
5327,3,11,1,0
5225,12,11,1,1
5219,12,11,4,1
5269,3,11,3,0
5277,3,11,3,0
5105,12,11,3,1
5114,12,11,1,1
4023,3,11,1,0
4072,3,11,1,0
4083,61,11,1,1
4064,3,11,2,0
5179,12,11,2,1
5147,12,11,1,1
5155,12,11,2,1
5187,12,11,3,1
5048,12,11,2,1
5052,85,11,1,0
5077,3,11,4,0
1980,12,11,5,1
1992,3,11,2,0
1919,3,11,1,0
1947,3,11,1,0
7,4,12,1,0
5,6,12,1,0
9,8,12,3,1
33,6,12,1,0
39,8,12,1,1
43,6,12,2,0
22,8,12,3,1
28,4,12,4,0
19,6,12,6,0
17,6,12,6,0
20,8,12,2,1
67,8,12,2,1
66,6,12,6,0
63,4,12,2,0
48,6,12,6,0
44,4,12,4,0
3240,4,12,6,0
3242,12,12,3,0
3237,4,12,1,0
2108,8,12,1,1
2105,4,12,1,0
3251,6,12,4,0
