arretId,correspondanceId,distance
20290,10143,85
20290,20331,191
20011,20002,13
20011,20004,96
20011,20001,70
20011,20007,165
20011,20006,17
20011,20009,0
20011,20008,114
20011,20012,64
20011,20010,13
20011,10001,44
20980,20979,8
20980,20982,162
20980,10509,4
20010,20002,0
20010,20004,89
20010,20001,57
20010,20007,163
20010,20006,27
20010,20009,13
20010,20008,108
20010,20012,53
20010,20011,13
20010,10001,37
20294,20295,87
20294,20296,124
20294,10145,64
20983,20984,65
20983,10511,33
20016,20015,43
20015,20016,43
20984,20983,65
20984,10511,33
20292,10144,0
20292,21239,168
20014,20025,131
20014,20013,125
20014,20752,126
20014,21190,27
20014,21191,71
20014,10002,98
20014,10008,112
20981,20982,105
20981,10510,52
20291,20029,147
20291,20028,125
20291,20290,171
20291,10143,85
20291,10010,136
20982,20979,166
20982,20980,162
20982,20981,105
20982,10510,52
20982,10509,164
20013,20061,157
20013,20025,139
20013,20014,125
20013,20752,14
20013,21190,104
20013,21191,187
20013,10008,76
20013,10027,157
10030,20063,14
10030,20064,14
20987,20988,33
20987,10513,17
20988,20987,33
20988,10513,17
20019,20669,168
20019,20020,56
20019,21079,98
20019,10342,190
20019,10368,199
20019,10367,120
20019,10366,90
20019,10003,44
20019,20741,77
20019,20718,199
20019,20717,120
20019,20716,82
10031,10082,131
10031,20065,27
10031,20066,27
10031,20104,131
20985,20986,18
20985,10512,9
20018,10171,0
20986,20985,18
20986,10512,9
20017,20295,158
20017,10106,16
20017,20389,109
20017,20398,171
20017,20399,172
20017,20397,32
20017,10170,141
20017,10192,109
20017,10199,172
20017,20346,141
21075,21152,0
21075,21150,17
21075,10554,6
10291,10290,135
10291,20577,0
10291,20576,135
10290,10291,135
10290,20577,135
10290,20576,0
10293,20580,0
10292,20579,0
10298,10297,192
10298,20588,11
10298,20587,180
10298,20589,11
10299,20589,199
10299,20591,6
10299,20590,6
10299,20592,183
10296,20584,0
10297,10298,192
10297,20588,188
10297,20587,12
10297,20586,12
10297,20589,196
21077,20458,45
21077,20380,133
21077,10187,82
21079,20669,196
21079,20020,85
21079,20019,98
21079,10342,192
21079,10368,196
21079,10367,132
21079,10366,9
21079,10003,91
21079,20741,105
21079,20718,196
21079,20717,132
21079,20716,18
21068,10090,158
21068,20188,186
21051,21050,9
21051,10544,5
21050,21051,9
21050,10544,5
10273,20547,14
10273,20546,14
10272,20037,198
10272,20545,41
10272,20544,41
10272,10014,172
10271,20543,51
10271,20542,51
10270,20540,9
10270,20541,9
21391,10709,55
21391,21400,111
21396,21397,41
21396,10707,21
21396,10621,0
21396,21215,0
10278,10277,195
10278,20554,184
10278,20556,0
21397,21396,41
21397,10707,21
21397,10621,41
21397,21215,41
21398,10708,5
21398,21399,10
10276,10277,185
10276,10275,164
10276,20553,5
10276,20552,5
10276,20555,185
10276,20554,186
10276,20551,162
10276,20550,168
21399,10708,5
21399,21398,10
10277,10278,195
10277,10276,185
10277,20553,188
10277,20552,183
10277,20555,12
10277,20554,12
10277,20556,195
10274,20548,32
10274,20549,32
10275,10276,164
10275,20553,165
10275,20552,164
10275,20551,11
10275,20550,11
21054,10546,0
21054,20866,69
21054,20865,68
21054,10446,68
21042,21041,99
21042,10538,50
21041,21042,99
21041,10538,50
10281,20561,9
10281,20560,9
10284,21551,91
10284,10283,106
10284,10285,92
10284,20166,106
10284,20566,0
10284,20567,95
10283,21551,187
10283,10284,106
10283,10285,191
